"Target","Type","VulnerabilityID","PkgName","InstalledVersion","FixedVersion","Severity","Title"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-4450","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: double free after calling PEM_read_bio_ex"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0215","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: use-after-free following BIO_new_NDEF"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0286","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: X.400 address type confusion in X.509 GeneralName"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0464","libcrypto1.1","1.1.1n-r0","1.1.1t-r2","HIGH","openssl: Denial of service by excessive resource usage in verifying X509 policy constraints"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-4450","libssl1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: double free after calling PEM_read_bio_ex"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0215","libssl1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: use-after-free following BIO_new_NDEF"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0286","libssl1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: X.400 address type confusion in X.509 GeneralName"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0464","libssl1.1","1.1.1n-r0","1.1.1t-r2","HIGH","openssl: Denial of service by excessive resource usage in verifying X509 policy constraints"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-37434","zlib","1.2.12-r0","1.2.12-r2","CRITICAL","zlib: heap-based buffer over-read and overflow in inflate() in inflate.c via a large gzip header extra field"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","3.0.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","4.1.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","4.1.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","4.1.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2024-45590","body-parser","1.18.3","1.20.3","HIGH","body-parser: Denial of Service Vulnerability in body-parser"
"Node.js","node-pkg","CVE-2026-13149","brace-expansion","1.1.11","5.0.7, 1.1.16, 2.1.2","HIGH","brace-expansion: Brace-expansion: Denial of Service due to exponential-time complexity"
"Node.js","node-pkg","CVE-2026-13149","brace-expansion","1.1.11","5.0.7, 1.1.16, 2.1.2","HIGH","brace-expansion: Brace-expansion: Denial of Service due to exponential-time complexity"
"Node.js","node-pkg","CVE-2026-14257","brace-expansion","1.1.11","5.0.8, 3.0.3, 2.1.3, 1.1.17","HIGH","brace-expansion: Brace-expansion: Denial of Service via memory exhaustion in expand() function"
"Node.js","node-pkg","CVE-2026-14257","brace-expansion","1.1.11","5.0.8, 3.0.3, 2.1.3, 1.1.17","HIGH","brace-expansion: Brace-expansion: Denial of Service via memory exhaustion in expand() function"
"Node.js","node-pkg","CVE-2026-69152","brace-expansion","1.1.11","1.1.18, 2.1.4, 3.0.6, 5.0.9","HIGH","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation"
"Node.js","node-pkg","CVE-2026-69152","brace-expansion","1.1.11","1.1.18, 2.1.4, 3.0.6, 5.0.9","HIGH","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation"
"Node.js","node-pkg","CVE-2024-4068","braces","2.3.2","3.0.3","HIGH","braces: fails to limit the number of characters it can handle"
"Node.js","node-pkg","CVE-2020-7610","bson","1.0.9","1.1.4","CRITICAL","bson: Deserialization of Untrusted Data could result in Code injection or Excessive CPU load"
"Node.js","node-pkg","CVE-2024-21538","cross-spawn","5.1.0","7.0.5, 6.0.6","HIGH","cross-spawn: regular expression denial of service"
"Node.js","node-pkg","CVE-2017-20165","debug","2.2.0","3.1.0, 2.6.9","HIGH","A vulnerability classified as problematic has been found in debug-js d ..."
"Node.js","node-pkg","CVE-2022-38900","decode-uri-component","0.2.0","0.2.1","HIGH","decode-uri-component: improper input validation resulting in DoS"
"Node.js","node-pkg","CVE-2022-38900","decode-uri-component","0.2.0","0.2.1","HIGH","decode-uri-component: improper input validation resulting in DoS"
"Node.js","node-pkg","CVE-2025-7783","form-data","2.3.2","2.5.4, 3.0.4, 4.0.4","CRITICAL","form-data: Unsafe random function in form-data"
"Node.js","node-pkg","CVE-2026-12143","form-data","2.3.2","2.5.6, 3.0.5, 4.0.6","HIGH","form-data: form-data: Form field override via CRLF injection"
"Node.js","node-pkg","CVE-2022-25881","http-cache-semantics","3.8.1","4.1.1","HIGH","http-cache-semantics: Regular Expression Denial of Service (ReDoS) vulnerability"
"Node.js","node-pkg","CVE-2021-3820","i","0.3.6","0.3.7","HIGH","inflect vulnerable to Inefficient Regular Expression Complexity"
"Node.js","node-pkg","CVE-2020-7788","ini","1.3.5","1.3.6","HIGH","nodejs-ini: Prototype pollution via malicious INI file"
"Node.js","node-pkg","CVE-2024-29415","ip","1.1.5","","HIGH","node-ip: Incomplete fix for CVE-2023-42282"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2017-16114","marked","0.3.5","0.3.9","HIGH","The marked module is vulnerable to a regular expression denial of serv ..."
"Node.js","node-pkg","CVE-2022-21680","marked","0.3.5","4.0.10","HIGH","marked: regular expression block.def may lead Denial of Service"
"Node.js","node-pkg","CVE-2022-21681","marked","0.3.5","4.0.10","HIGH","marked: regular expression inline.reflinkSearch may lead Denial of Service"
"Node.js","node-pkg","CVE-2022-3517","minimatch","3.0.4","3.0.5","HIGH","nodejs-minimatch: ReDoS via the braceExpand function"
"Node.js","node-pkg","CVE-2022-3517","minimatch","3.0.4","3.0.5","HIGH","nodejs-minimatch: ReDoS via the braceExpand function"
"Node.js","node-pkg","CVE-2026-26996","minimatch","3.0.4","10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3","HIGH","minimatch: minimatch: Denial of Service via specially crafted glob patterns"
"Node.js","node-pkg","CVE-2026-26996","minimatch","3.0.4","10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3","HIGH","minimatch: minimatch: Denial of Service via specially crafted glob patterns"
"Node.js","node-pkg","CVE-2026-27903","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3","HIGH","minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns"
"Node.js","node-pkg","CVE-2026-27903","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3","HIGH","minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns"
"Node.js","node-pkg","CVE-2026-27904","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4","HIGH","minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions"
"Node.js","node-pkg","CVE-2026-27904","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4","HIGH","minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions"
"Node.js","node-pkg","CVE-2021-44906","minimist","0.0.10","1.2.6, 0.2.4","CRITICAL","minimist: prototype pollution"
"Node.js","node-pkg","CVE-2021-44906","minimist","0.0.8","1.2.6, 0.2.4","CRITICAL","minimist: prototype pollution"
"Node.js","node-pkg","CVE-2021-44906","minimist","1.2.5","1.2.6, 0.2.4","CRITICAL","minimist: prototype pollution"
"Node.js","node-pkg","CVE-2021-44906","minimist","1.2.5","1.2.6, 0.2.4","CRITICAL","minimist: prototype pollution"
"Node.js","node-pkg","CVE-2021-44906","minimist","1.2.5","1.2.6, 0.2.4","CRITICAL","minimist: prototype pollution"
"Node.js","node-pkg","CVE-2019-10746","mixin-deep","1.3.1","1.3.2, 2.0.1","CRITICAL","nodejs-mixin-deep: prototype pollution in function mixin-deep"
"Node.js","node-pkg","GHSA-mh5c-679w-hh4r","mongodb","2.2.36","3.1.13","HIGH","Denial of Service in mongodb"
"Node.js","node-pkg","CVE-2022-21803","nconf","0.10.0","0.11.4","HIGH","nconf: Prototype pollution in memory store"
"Node.js","node-pkg","CVE-2022-21803","nconf","0.6.9","0.11.4","HIGH","nconf: Prototype pollution in memory store"
"Node.js","node-pkg","CVE-2024-45296","path-to-regexp","0.1.7","1.9.0, 0.1.10, 8.0.0, 3.3.0, 6.3.0","HIGH","path-to-regexp: Backtracking regular expressions cause ReDoS"
"Node.js","node-pkg","CVE-2024-52798","path-to-regexp","0.1.7","0.1.12","HIGH","path-to-regexp: path-to-regexp Unpatched `path-to-regexp` ReDoS in 0.1.x"
"Node.js","node-pkg","CVE-2026-4867","path-to-regexp","0.1.7","0.1.13","HIGH","path-to-regexp: path-to-regexp: Denial of Service via catastrophic backtracking from malformed URL parameters"
"Node.js","node-pkg","CVE-2022-24999","qs","6.5.2","6.10.3, 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, 6.2.4","HIGH","express: ""qs"" prototype poisoning causes the hang of the node process"
"Node.js","node-pkg","CVE-2022-24999","qs","6.5.2","6.10.3, 6.9.7, 6.8.3, 6.7.3, 6.6.1, 6.5.3, 6.4.1, 6.3.3, 6.2.4","HIGH","express: ""qs"" prototype poisoning causes the hang of the node process"
"Node.js","node-pkg","CVE-2022-25883","semver","5.6.0","7.5.2, 6.3.1, 5.7.2","HIGH","nodejs-semver: Regular expression denial of service"
"Node.js","node-pkg","CVE-2022-25883","semver","5.7.1","7.5.2, 6.3.1, 5.7.2","HIGH","nodejs-semver: Regular expression denial of service"
"Node.js","node-pkg","CVE-2019-10747","set-value","0.4.3","2.0.1, 3.0.1","CRITICAL","nodejs-set-value: prototype pollution in function set-value"
"Node.js","node-pkg","CVE-2021-23440","set-value","0.4.3","4.0.1, 2.0.1, 3.0.3","HIGH","nodejs-set-value: type confusion allows bypass of CVE-2019-10747"
"Node.js","node-pkg","CVE-2019-10747","set-value","2.0.0","2.0.1, 3.0.1","CRITICAL","nodejs-set-value: prototype pollution in function set-value"
"Node.js","node-pkg","CVE-2021-23440","set-value","2.0.0","4.0.1, 2.0.1, 3.0.3","HIGH","nodejs-set-value: type confusion allows bypass of CVE-2019-10747"
"Node.js","node-pkg","CVE-2023-25345","swig","1.4.2","","HIGH","Arbitrary local file read vulnerability during template rendering "
"Node.js","node-pkg","CVE-2026-59873","tar","4.4.19","7.5.19","CRITICAL","tar: node-tar: Denial of Service via crafted gzip bomb"
"Node.js","node-pkg","CVE-2026-23745","tar","4.4.19","7.5.3","HIGH","node-tar: tar: node-tar: Arbitrary file overwrite and symlink poisoning via unsanitized linkpaths in archives"
"Node.js","node-pkg","CVE-2026-23950","tar","4.4.19","7.5.4","HIGH","node-tar: tar: node-tar: Arbitrary file overwrite via Unicode path collision race condition"
"Node.js","node-pkg","CVE-2026-24842","tar","4.4.19","7.5.7","HIGH","node-tar: tar: node-tar: Arbitrary file creation via path traversal bypass in hardlink security check"
"Node.js","node-pkg","CVE-2026-26960","tar","4.4.19","7.5.8","HIGH","node-tar: node-tar: Arbitrary file read/write via malicious archive hardlink creation"
"Node.js","node-pkg","CVE-2026-29786","tar","4.4.19","7.5.10","HIGH","node-tar: hardlink path traversal via drive-relative linkpath"
"Node.js","node-pkg","CVE-2026-31802","tar","4.4.19","7.5.11","HIGH","tar: tar: File overwrite via drive-relative symlink traversal"
"Node.js","node-pkg","CVE-2026-59874","tar","4.4.19","7.5.18","HIGH","tar: Node-tar: Denial of Service via malformed tar archive header"
"Node.js","node-pkg","CVE-2026-73566","tar","4.4.19","7.5.21","HIGH","tar: node-tar: Denial of Service via crafted long-path tar archive"
"Node.js","node-pkg","CVE-2021-23358","underscore","1.9.1","1.12.1","CRITICAL","nodejs-underscore: Arbitrary code execution via the template function"
"Node.js","node-pkg","CVE-2026-27601","underscore","1.9.1","1.13.8","HIGH","Underscore.js: Underscore.js: Denial of Service via recursive data structures in flatten and isEqual functions"
"Node.js","node-pkg","CVE-2020-7774","y18n","3.2.1","3.2.2, 4.0.1, 5.0.5","HIGH","nodejs-y18n: prototype pollution vulnerability"
