"Target","Type","VulnerabilityID","PkgName","InstalledVersion","FixedVersion","Severity","Title"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-4450","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: double free after calling PEM_read_bio_ex"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0215","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: use-after-free following BIO_new_NDEF"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0286","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: X.400 address type confusion in X.509 GeneralName"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0464","libcrypto1.1","1.1.1n-r0","1.1.1t-r2","HIGH","openssl: Denial of service by excessive resource usage in verifying X509 policy constraints"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-2097","libcrypto1.1","1.1.1n-r0","1.1.1q-r0","MEDIUM","openssl: AES OCB fails to encrypt some bytes"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-4304","libcrypto1.1","1.1.1n-r0","1.1.1t-r0","MEDIUM","openssl: timing attack in RSA Decryption implementation"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0465","libcrypto1.1","1.1.1n-r0","1.1.1t-r2","MEDIUM","openssl: Invalid certificate policies in leaf certificates are silently ignored"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-2650","libcrypto1.1","1.1.1n-r0","1.1.1u-r0","MEDIUM","openssl: Possible DoS translating ASN.1 object identifiers"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-3446","libcrypto1.1","1.1.1n-r0","1.1.1u-r2","MEDIUM","openssl: Excessive time spent checking DH keys and parameters"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-3817","libcrypto1.1","1.1.1n-r0","1.1.1v-r0","MEDIUM","OpenSSL: Excessive time spent checking DH q parameter value"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-5678","libcrypto1.1","1.1.1n-r0","1.1.1w-r1","MEDIUM","openssl: Generating excessively long X9.42 DH keys or checking excessively long X9.42 DH keys or parameters may be very slow"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-4450","libssl1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: double free after calling PEM_read_bio_ex"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0215","libssl1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: use-after-free following BIO_new_NDEF"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0286","libssl1.1","1.1.1n-r0","1.1.1t-r0","HIGH","openssl: X.400 address type confusion in X.509 GeneralName"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0464","libssl1.1","1.1.1n-r0","1.1.1t-r2","HIGH","openssl: Denial of service by excessive resource usage in verifying X509 policy constraints"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-2097","libssl1.1","1.1.1n-r0","1.1.1q-r0","MEDIUM","openssl: AES OCB fails to encrypt some bytes"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-4304","libssl1.1","1.1.1n-r0","1.1.1t-r0","MEDIUM","openssl: timing attack in RSA Decryption implementation"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-0465","libssl1.1","1.1.1n-r0","1.1.1t-r2","MEDIUM","openssl: Invalid certificate policies in leaf certificates are silently ignored"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-2650","libssl1.1","1.1.1n-r0","1.1.1u-r0","MEDIUM","openssl: Possible DoS translating ASN.1 object identifiers"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-3446","libssl1.1","1.1.1n-r0","1.1.1u-r2","MEDIUM","openssl: Excessive time spent checking DH keys and parameters"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-3817","libssl1.1","1.1.1n-r0","1.1.1v-r0","MEDIUM","OpenSSL: Excessive time spent checking DH q parameter value"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2023-5678","libssl1.1","1.1.1n-r0","1.1.1w-r1","MEDIUM","openssl: Generating excessively long X9.42 DH keys or checking excessively long X9.42 DH keys or parameters may be very slow"
"nodegoat-master-web:latest (alpine 3.15.4)","alpine","CVE-2022-37434","zlib","1.2.12-r0","1.2.12-r2","CRITICAL","zlib: heap-based buffer over-read and overflow in inflate() in inflate.c via a large gzip header extra field"
"Node.js","node-pkg","CVE-2025-69873","ajv","6.12.6","8.18.0, 6.14.0","MEDIUM","ajv: ReDoS via $data reference"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","3.0.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","4.1.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","4.1.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2021-3807","ansi-regex","4.1.0","6.0.1, 5.0.1, 4.1.1, 3.0.1","HIGH","nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes"
"Node.js","node-pkg","CVE-2024-45590","body-parser","1.18.3","1.20.3","HIGH","body-parser: Denial of Service Vulnerability in body-parser"
"Node.js","node-pkg","CVE-2026-12590","body-parser","1.18.3","1.20.6, 2.3.0","LOW","body-parser: body-parser: Denial of Service via invalid limit option"
"Node.js","node-pkg","CVE-2026-13149","brace-expansion","1.1.11","5.0.7, 1.1.16, 2.1.2","HIGH","brace-expansion: Brace-expansion: Denial of Service due to exponential-time complexity"
"Node.js","node-pkg","CVE-2026-13149","brace-expansion","1.1.11","5.0.7, 1.1.16, 2.1.2","HIGH","brace-expansion: Brace-expansion: Denial of Service due to exponential-time complexity"
"Node.js","node-pkg","CVE-2026-14257","brace-expansion","1.1.11","5.0.8, 3.0.3, 2.1.3, 1.1.17","HIGH","brace-expansion: Brace-expansion: Denial of Service via memory exhaustion in expand() function"
"Node.js","node-pkg","CVE-2026-14257","brace-expansion","1.1.11","5.0.8, 3.0.3, 2.1.3, 1.1.17","HIGH","brace-expansion: Brace-expansion: Denial of Service via memory exhaustion in expand() function"
"Node.js","node-pkg","CVE-2026-69152","brace-expansion","1.1.11","1.1.18, 2.1.4, 3.0.6, 5.0.9","HIGH","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation"
"Node.js","node-pkg","CVE-2026-69152","brace-expansion","1.1.11","1.1.18, 2.1.4, 3.0.6, 5.0.9","HIGH","brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation"
"Node.js","node-pkg","CVE-2026-33750","brace-expansion","1.1.11","5.0.5, 3.0.2, 2.0.3, 1.1.13","MEDIUM","brace-expansion: brace-expansion: Denial of Service via zero step value in brace pattern"
"Node.js","node-pkg","CVE-2026-33750","brace-expansion","1.1.11","5.0.5, 3.0.2, 2.0.3, 1.1.13","MEDIUM","brace-expansion: brace-expansion: Denial of Service via zero step value in brace pattern"
"Node.js","node-pkg","CVE-2025-5889","brace-expansion","1.1.11","2.0.2, 1.1.12, 3.0.1, 4.0.1","LOW","brace-expansion: juliangruber brace-expansion index.js expand redos"
"Node.js","node-pkg","CVE-2025-5889","brace-expansion","1.1.11","2.0.2, 1.1.12, 3.0.1, 4.0.1","LOW","brace-expansion: juliangruber brace-expansion index.js expand redos"
"Node.js","node-pkg","CVE-2024-4068","braces","2.3.2","3.0.3","HIGH","braces: fails to limit the number of characters it can handle"
"Node.js","node-pkg","CVE-2020-7610","bson","1.0.9","1.1.4","CRITICAL","bson: Deserialization of Untrusted Data could result in Code injection or Excessive CPU load"
"Node.js","node-pkg","CVE-2019-2391","bson","1.0.9","1.1.4","MEDIUM","Incorrect parsing of certain JSON input may result in js-bson not corr ..."
"Node.js","node-pkg","CVE-2024-47764","cookie","0.3.1","0.7.0","LOW","cookie: cookie accepts cookie name, path, and domain with out of bounds characters"
"Node.js","node-pkg","CVE-2024-21538","cross-spawn","5.1.0","7.0.5, 6.0.6","HIGH","cross-spawn: regular expression denial of service"
"Node.js","node-pkg","CVE-2017-20165","debug","2.2.0","3.1.0, 2.6.9","HIGH","A vulnerability classified as problematic has been found in debug-js d ..."
"Node.js","node-pkg","CVE-2017-16137","debug","2.2.0","2.6.9, 3.1.0, 3.2.7, 4.3.1","LOW","nodejs-debug: Regular expression Denial of Service"
"Node.js","node-pkg","CVE-2022-38900","decode-uri-component","0.2.0","0.2.1","HIGH","decode-uri-component: improper input validation resulting in DoS"
"Node.js","node-pkg","CVE-2022-38900","decode-uri-component","0.2.0","0.2.1","HIGH","decode-uri-component: improper input validation resulting in DoS"
"Node.js","node-pkg","CVE-2026-45822","decode-uri-component","0.2.0","0.5.0","MEDIUM","decode-uri-component: decode-uri-component: Denial of Service via crafted input"
"Node.js","node-pkg","CVE-2026-45822","decode-uri-component","0.2.0","0.5.0","MEDIUM","decode-uri-component: decode-uri-component: Denial of Service via crafted input"
"Node.js","node-pkg","CVE-2024-29041","express","4.16.4","4.19.2, 5.0.0-beta.3","MEDIUM","express: cause malformed URLs to be evaluated"
"Node.js","node-pkg","CVE-2024-43796","express","4.16.4","4.20.0, 5.0.0","LOW","express: Improper Input Handling in Express Redirects"
"Node.js","node-pkg","CVE-2025-7783","form-data","2.3.2","2.5.4, 3.0.4, 4.0.4","CRITICAL","form-data: Unsafe random function in form-data"
"Node.js","node-pkg","CVE-2026-12143","form-data","2.3.2","2.5.6, 3.0.5, 4.0.6","HIGH","form-data: form-data: Form field override via CRLF injection"
"Node.js","node-pkg","CVE-2022-33987","got","6.7.1","12.1.0, 11.8.5","MEDIUM","nodejs-got: missing verification of requested URLs allows redirects to UNIX sockets"
"Node.js","node-pkg","GHSA-c3m8-x3cg-qm2c","helmet-csp","1.2.2","2.9.1","MEDIUM","Configuration Override in helmet-csp"
"Node.js","node-pkg","CVE-2022-25881","http-cache-semantics","3.8.1","4.1.1","HIGH","http-cache-semantics: Regular Expression Denial of Service (ReDoS) vulnerability"
"Node.js","node-pkg","CVE-2021-3820","i","0.3.6","0.3.7","HIGH","inflect vulnerable to Inefficient Regular Expression Complexity"
"Node.js","node-pkg","CVE-2020-7788","ini","1.3.5","1.3.6","HIGH","nodejs-ini: Prototype pollution via malicious INI file"
"Node.js","node-pkg","CVE-2024-29415","ip","1.1.5",,"HIGH","node-ip: Incomplete fix for CVE-2023-42282"
"Node.js","node-pkg","CVE-2023-42282","ip","1.1.5","2.0.1, 1.1.9","LOW","nodejs-ip: arbitrary code execution via the isPublic() function"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2019-20149","kind-of","6.0.2","6.0.3","HIGH","nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes"
"Node.js","node-pkg","CVE-2017-16114","marked","0.3.5","0.3.9","HIGH","The marked module is vulnerable to a regular expression denial of serv ..."
"Node.js","node-pkg","CVE-2022-21680","marked","0.3.5","4.0.10","HIGH","marked: regular expression block.def may lead Denial of Service"
"Node.js","node-pkg","CVE-2022-21681","marked","0.3.5","4.0.10","HIGH","marked: regular expression inline.reflinkSearch may lead Denial of Service"
"Node.js","node-pkg","CVE-2016-10531","marked","0.3.5","0.3.6","MEDIUM","marked is an application that is meant to parse and compile markdown.  ..."
"Node.js","node-pkg","CVE-2017-1000427","marked","0.3.5","0.3.7","MEDIUM","marked version 0.3.6 and earlier is vulnerable to an XSS attack in the ..."
"Node.js","node-pkg","CVE-2018-25110","marked","0.3.5","0.3.17","MEDIUM","Marked prior to version 0.3.17 is vulnerable to a Regular Expression D ..."
"Node.js","node-pkg","NSWG-ECO-101","marked","0.3.5",">=0.3.6","MEDIUM","Sanitization bypass using HTML Entities"
"Node.js","node-pkg","CVE-2024-4067","micromatch","3.1.10","4.0.8","MEDIUM","micromatch: vulnerable to Regular Expression Denial of Service"
"Node.js","node-pkg","CVE-2022-3517","minimatch","3.0.4","3.0.5","HIGH","nodejs-minimatch: ReDoS via the braceExpand function"
"Node.js","node-pkg","CVE-2022-3517","minimatch","3.0.4","3.0.5","HIGH","nodejs-minimatch: ReDoS via the braceExpand function"
"Node.js","node-pkg","CVE-2026-26996","minimatch","3.0.4","10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3","HIGH","minimatch: minimatch: Denial of Service via specially crafted glob patterns"
"Node.js","node-pkg","CVE-2026-26996","minimatch","3.0.4","10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3","HIGH","minimatch: minimatch: Denial of Service via specially crafted glob patterns"
"Node.js","node-pkg","CVE-2026-27903","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3","HIGH","minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns"
"Node.js","node-pkg","CVE-2026-27903","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.3","HIGH","minimatch: minimatch: Denial of Service due to unbounded recursive backtracking via crafted glob patterns"
"Node.js","node-pkg","CVE-2026-27904","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4","HIGH","minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions"
"Node.js","node-pkg","CVE-2026-27904","minimatch","3.0.4","10.2.3, 9.0.7, 8.0.6, 7.4.8, 6.2.2, 5.1.8, 4.2.5, 3.1.4","HIGH","minimatch: Minimatch: Denial of Service via catastrophic backtracking in glob expressions"
"Node.js","node-pkg","CVE-2021-44906","minimist","0.0.10","1.2.6, 0.2.4","CRITICAL","minimist: prototype pollution"
