"Target","Type","VulnerabilityID","PkgName","InstalledVersion","FixedVersion","Severity","Title"
"mongo:4.4 (ubuntu 20.04)","ubuntu","CVE-2025-4802","libc-bin","2.31-0ubuntu9.17","2.31-0ubuntu9.18","MEDIUM","glibc: static setuid binary dlopen may incorrectly search LD_LIBRARY_PATH"
"mongo:4.4 (ubuntu 20.04)","ubuntu","CVE-2025-4802","libc6","2.31-0ubuntu9.17","2.31-0ubuntu9.18","MEDIUM","glibc: static setuid binary dlopen may incorrectly search LD_LIBRARY_PATH"
"Node.js","node-pkg","CVE-2026-59869","js-yaml","3.13.1","3.15.0, 4.3.0","HIGH","js-yaml: js-yaml: Denial of Service via crafted YAML documents"
"Node.js","node-pkg","CVE-2026-84375","js-yaml","3.13.1","4.3.2, 3.15.2","HIGH","js-yaml: js-yaml: Denial of Service vulnerability in YAML parsing"
"Node.js","node-pkg","GHSA-5p4m-2wfm-xmqj","js-yaml","3.13.1","4.3.1, 3.15.1","HIGH","JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) â€” CVE-2026-59870 fix not backported"
"Node.js","node-pkg","CVE-2025-64718","js-yaml","3.13.1","4.1.1, 3.14.2","MEDIUM","js-yaml: js-yaml prototype pollution in merge"
"Node.js","node-pkg","CVE-2026-53550","js-yaml","3.13.1","4.2.0, 3.15.0","MEDIUM","js-yaml: js-yaml: Denial of Service via crafted YAML merge keys"
"usr/bin/bsondump","gobinary","CVE-2026-2303","go.mongodb.org/mongo-driver","v1.16.0","1.17.7","MEDIUM","CVE-2026-2303 affecting package telegraf for versions less than 1.29.4-21"
"usr/bin/bsondump","gobinary","CVE-2024-45337","golang.org/x/crypto","v0.25.0","0.31.0","HIGH","golang.org/x/crypto/ssh: Misuse of ServerConfig.PublicKeyCallback may cause authorization bypass in golang.org/x/crypto"
"usr/bin/bsondump","gobinary","CVE-2025-22869","golang.org/x/crypto","v0.25.0","0.35.0","HIGH","golang.org/x/crypto/ssh: Denial of Service in the Key Exchange of golang.org/x/crypto/ssh"
"usr/bin/bsondump","gobinary","CVE-2025-47913","golang.org/x/crypto","v0.25.0","0.43.0","HIGH","golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: SSH client panic due to unexpected SSH_AGENT_SUCCESS"
"usr/bin/bsondump","gobinary","CVE-2026-39828","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Unauthorized command execution via discarded SSH permissions"
"usr/bin/bsondump","gobinary","CVE-2026-39829","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted public key with excessive parameters"
"usr/bin/bsondump","gobinary","CVE-2026-39830","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via resource leak from unsolicited SSH responses"
"usr/bin/bsondump","gobinary","CVE-2026-39831","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Security key bypass due to missing user presence check"
"usr/bin/bsondump","gobinary","CVE-2026-39832","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to improper handling of key restrictions"
"usr/bin/bsondump","gobinary","CVE-2026-39835","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via crafted SSH certificate"
"usr/bin/bsondump","gobinary","CVE-2026-42508","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh/knownhosts: golang: golang.org/x/crypto/ssh/knownhosts: Revocation bypass via unchecked SignatureKey"
"usr/bin/bsondump","gobinary","CVE-2026-46595","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authorization bypass due to skipped source-address validation"
"usr/bin/bsondump","gobinary","CVE-2026-46597","golang.org/x/crypto","v0.25.0","0.52.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted AES-GCM packet decoder inputs"
"usr/bin/bsondump","gobinary","CVE-2026-56854","golang.org/x/crypto","v0.25.0","0.55.0","HIGH","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Authentication bypass due to unenforced source-address restrictions"
"usr/bin/bsondump","gobinary","CVE-2025-47914","golang.org/x/crypto","v0.25.0","0.45.0","MEDIUM","golang.org/x/crypto/ssh/agent: SSH Agent servers: Denial of Service due to malformed messages"
"usr/bin/bsondump","gobinary","CVE-2025-58181","golang.org/x/crypto","v0.25.0","0.45.0","MEDIUM","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via unbounded memory consumption in GSSAPI authentication"
"usr/bin/bsondump","gobinary","CVE-2026-39827","golang.org/x/crypto","v0.25.0","0.52.0","MEDIUM","golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service via repeated rejected channel openings"
"usr/bin/bsondump","gobinary","CVE-2026-39833","golang.org/x/crypto","v0.25.0","0.52.0","MEDIUM","golang.org/x/crypto/ssh/agent: golang.org/x/crypto/ssh/agent: Security bypass due to unenforced key confirmation"
"usr/bin/bsondump","gobinary","CVE-2026-39834","golang.org/x/crypto","v0.25.0","0.52.0","MEDIUM","golang.org/x/crypto/ssh: golang: golang.org/x/crypto/ssh: Denial of Service due to integer overflow in SSH channel write"
"usr/bin/bsondump","gobinary","CVE-2026-46598","golang.org/x/crypto","v0.25.0","0.52.0","MEDIUM","golang.org/x/crypto/ssh/agent: golang: golang.org/x/crypto/ssh/agent: Denial of Service via malformed input"
"usr/bin/bsondump","gobinary","CVE-2026-56855","golang.org/x/crypto","v0.25.0","0.56.0","MEDIUM","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via crafted messages"
"usr/bin/bsondump","gobinary","CVE-2026-78662","golang.org/x/crypto","v0.25.0","0.56.0","MEDIUM","golang.org/x/crypto/ssh: golang.org/x/crypto/ssh: Denial of Service via channel request flooding"
"usr/bin/bsondump","gobinary","GO-2026-5932","golang.org/x/crypto","v0.25.0",,"UNKNOWN","The golang.org/x/crypto/openpgp package is unmaintained, unsafe by design, and has known security issues"
"usr/bin/bsondump","gobinary","CVE-2026-39824","golang.org/x/sys","v0.22.0","0.44.0","UNKNOWN","Invoking integer overflow in NewNTUnicodeString in golang.org/x/sys/windows"
"usr/bin/bsondump","gobinary","CVE-2026-56852","golang.org/x/text","v0.16.0","0.39.0","HIGH","golang.org/x/text: golang.org/x/text: Denial of Service via invalid UTF-8 input"
"usr/bin/bsondump","gobinary","CVE-2025-68121","stdlib","v1.21.12","1.24.13, 1.25.7, 1.26.0-rc.3","CRITICAL","crypto/tls: crypto/tls: Incorrect certificate validation during TLS session resumption"
"usr/bin/bsondump","gobinary","CVE-2024-34156","stdlib","v1.21.12","1.22.7, 1.23.1","HIGH","encoding/gob: golang: Calling Decoder.Decode on a message which contains deeply nested structures can cause a panic due to stack exhaustion"
"usr/bin/bsondump","gobinary","CVE-2025-61726","stdlib","v1.21.12","1.24.12, 1.25.6","HIGH","golang: net/url: Memory exhaustion in query parameter parsing in net/url"
"usr/bin/bsondump","gobinary","CVE-2025-61729","stdlib","v1.21.12","1.24.11, 1.25.5","HIGH","crypto/x509: golang: Denial of Service due to excessive resource consumption via crafted certificate"
"usr/bin/bsondump","gobinary","CVE-2026-25679","stdlib","v1.21.12","1.25.8, 1.26.1","HIGH","net/url: Incorrect parsing of IPv6 host literals in net/url"
"usr/bin/bsondump","gobinary","CVE-2026-27145","stdlib","v1.21.12","1.25.11, 1.26.4","HIGH","crypto/x509: golang: golang crypto/x509: Denial of Service via excessive processing of DNS SAN entries"
"usr/bin/bsondump","gobinary","CVE-2026-32280","stdlib","v1.21.12","1.25.9, 1.26.2","HIGH","crypto/x509: crypto/tls: golang: Go: Denial of Service vulnerability in certificate chain building"
"usr/bin/bsondump","gobinary","CVE-2026-32281","stdlib","v1.21.12","1.25.9, 1.26.2","HIGH","crypto/x509: golang: Go crypto/x509: Denial of Service via inefficient certificate chain validation"
"usr/bin/bsondump","gobinary","CVE-2026-32283","stdlib","v1.21.12","1.25.9, 1.26.2","HIGH","crypto/tls: golang: Go crypto/tls: Denial of Service via multiple TLS 1.3 key update messages"
